method,dimension,iteration,x,f_val,dist_to_min,step_size,grad_norm,grad_cosine_sim,rel_improvement_f,rel_improvement_dist,rel_improvement_grad
GradientDescent,32,0,"[-0.7811705325555782, -0.4466015912747537, 0.07858844543145094, -0.39705797240987456, -1.222905760776185, 0.054071086727437885, -0.8377687286508178, 0.37349104910894065, -0.7250891264448722, 1.2223308261148524, -0.617700104455515, -0.2539886319634479, 0.6415672619093011, -0.9707013354058582, 0.17938261701439526, 1.0308570979002194, -1.2677157844268678, 0.1456085213012678, 0.20495238350626654, 0.6165720263008369, -0.975501272438591, -1.041356858390313, 0.41162081635123293, 0.2342121833036295, 0.19754715535569684, 0.2732208051834669, -0.5362905533387092, 0.18316314071099396, 0.2311268897825688, -0.5633617500881307, 1.4714130431382983, 0.3736807078954833]",339.174242012953,3.9558837785070127,,265.5583728261753,,,,
GradientDescent,32,1,"[-0.841238860910798, -0.425020827269022, 0.048651306705563904, -0.35839893739604806, -1.158536365032974, 0.03302481391352463, -0.8896106446049471, 0.32789601023791465, -0.7857027314157625, 1.15800143764557, -0.6588097236034093, -0.1906685319786236, 0.6890889420408228, -0.9802613626480122, 0.12227609532643689, 1.0166896655603839, -1.202737349620744, 0.09552352239523221, 0.14421069421663074, 0.6573538249987497, -0.9831838307701241, -1.0231302350762057, 0.37767258308491897, 0.17122079142255736, 0.13770173728737872, 0.21051007559612928, -0.5494210801317199, 0.1254244216464125, 0.1682740358404778, -0.5865936904988418, 1.4572451247200227, 0.3281377613183282]",270.33592384644794,3.905500893561885,0.26555837282617534,252.03746958893717,0.981871808097291,0.202958567130449,0.012736189374133417,0.05091499504739171
GradientDescent,32,2,"[-0.8923434032111022, -0.39565304758485265, 0.02964496794444307, -0.3088689218529105, -1.1034804544563348, 0.02001444893980306, -0.9280002704479271, 0.2717849132963497, -0.8453888681443604, 1.1030616859055653, -0.710289524835098, -0.13177097345046293, 0.7459969834591935, -0.9860733804485263, 0.07836957387076078, 1.0080795393917035, -1.1402501433098398, 0.05984498685755216, 0.09446696410826466, 0.7085227377528435, -0.987843875169856, -1.0119846345050567, 0.33324070118046595, 0.11558781852778055, 0.08959693251435173, 0.1491814145833923, -0.5675208579415761, 0.08062642229599232, 0.11320900530886027, -0.6179444537330026, 1.4376539685978111, 0.2720711135523759]",209.64577899385756,3.8781675891352494,0.2520374695889372,231.19342017663055,0.9739147781653362,0.22449900105419457,0.006998668076531166,0.08270218490251632
GradientDescent,32,3,"[-0.9298920998151428, -0.3565556912793484, 0.017949870361597446, -0.24966870180980924, -1.0632391637050527, 0.012093841524685064, -0.953608967504363, 0.20899717336709162, -0.8955786500249312, 1.0629529566192744, -0.7697551451504491, -0.08522922456320259, 0.8073169696532458, -0.9895922291430752, 0.04850898628909686, 1.0028750758583762, -1.0894939806951875, 0.03665225932519807, 0.05913553370074923, 0.7678159117927046, -0.9906625684092539, -1.0052337913007912, 0.2781419632144899, 0.07363140486636909, 0.055885209416704676, 0.09824163770972208, -0.5922495305661633, 0.04997921635002486, 0.07196412782628317, -0.6591248012477786, 1.4107901201397286, 0.20929831915901137]",158.72320900321841,3.873616560044698,0.23119342017663053,210.97613791336096,0.9736869095365822,0.24289814102162835,0.001173499851657076,0.08744748119485277
GradientDescent,32,4,"[-0.954823354529473, -0.3065744663969635, 0.010842659133055542, -0.18633764746242998, -1.0367986390572916, 0.007299789994836005, -0.9697579540983515, 0.1478209679318287, -0.9321168200450342, 1.0366172308763093, -0.8305640815416586, -0.052996891684903645, 0.8645035199470595, -0.9917189400789774, 0.02955652084908236, 0.9997343529846647, -1.0538168422104728, 0.02223678405848472, 0.036204966361402406, 0.8287188799289964, -0.9923653991647112, -1.0011574781184358, 0.2157335114272366, 0.04544153694632869, 0.03416143219250141, 0.06167735857649448, -0.625478464078654, 0.030470951167700006, 0.044368143809770874, -0.7106713026390095, 1.3745653318569289, 0.14809132909477296]",116.59691255586125,3.885280697273622,0.21097613791336098,188.99612088769115,0.9769673716497947,0.2654072880198823,-0.0030111749699844596,0.10418247884837137
GradientDescent,32,5,"[-0.9705101930363964, -0.24705747534998945, 0.006543773919994415, -0.12809306081963495, -1.0203266143418324, 0.004404359144092138, -0.9796858030992885, 0.09720367817398287, -0.9562465921076788, 1.0202152896080567, -0.8838552983998733, -0.03235307695500844, 0.9100347706514679, -0.9930032587007461, 0.017895915494019383, 0.9978397574680681, -1.030865739205806, 0.013442113860133845, 0.02196236438076795, 0.8823632829127899, -0.9933935321810089, -0.998698213145072, 0.15392086762583274, 0.027653802841766627, 0.020710034457633343, 0.037809659014219135, -0.6687897009967744, 0.01845391500824551, 0.026989559066509322, -0.7701732010597586, 1.3272661980599931, 0.0974096580768864]",83.20510292118513,3.904165603110387,0.18899612088769116,165.2286424084654,0.9755828747463523,0.2863867396032309,-0.004860628435422173,0.12575643546329354
GradientDescent,32,6,"[-0.9801447792187483, -0.1837422456750898, 0.003948035784177778, -0.08255304753172663, -1.0102831330426991, 0.002657001051803054, -0.9857243972564282, 0.06097639761558189, -0.9713905002531326, 1.0102156242071467, -0.9239769428609563, -0.019603672431654125, 0.9418701007533319, -0.9937785652933816, 0.010809977782745962, 0.9966968813349985, -1.016694942067759, 0.008114802689115672, 0.013275536818211538, 0.9229250847628091, -0.9940141251453484, -0.9972147358392695, 0.10188667471229074, 0.01673606153961299, 0.012515674324693115, 0.022947391988250444, -0.7222803191308994, 0.01114800684712458, 0.0163315245229666, -0.8309606529750363, 1.269039902842692, 0.06111537883697757]",57.891679556725535,3.9230262030218097,0.16522864240846535,141.7251410405709,0.9769189174270946,0.3042292176290844,-0.004830891368029297,0.14224834765506925
GradientDescent,32,7,"[-0.986002699878022, -0.12590953637995864, 0.0023816775032111433, -0.05123916574367655, -1.0042057725012716, 0.0016027938020899456, -0.9893811765303183, 0.0373665370017888, -0.9806815678714372, 1.0041649948579439, -0.9510133272946946, -0.011844800114879069, 0.9624282862968755, -0.9942465066669676, 0.006524030173362869, 0.9960074129408925, -1.0080827337108877, 0.004896365250379332, 0.008014089259775635, 0.9503317165745419, -0.9943886684838104, -0.9963198284587811, 0.06415129416659598, 0.010107627076255647, 0.007554743725146972, 0.013873585687096148, -0.7827170331607096, 0.006728252071179818, 0.009862742905712285, -0.8841749969861405, 1.2041190472086907, 0.037454359502764475]",39.551602724702036,3.938546018010032,0.14172514104057088,116.48766991735809,0.9842624629732885,0.31679987473938903,-0.003956082418278917,0.1780733533790466
GradientDescent,32,8,"[-0.9895494862032759, -0.08097571356600483, 0.001436700649829521, -0.03125591050176867, -1.0005371817617743, 0.0009668412794080208, -0.9915914480782564, 0.022675237553238137, -0.9863281021628169, 1.0005125784758329, -0.9681465541001695, -0.007149286361260406, 0.9751987622244119, -0.994528907086714, 0.0039361194762319585, 0.9955914429903365, -1.002877004347502, 0.0029538699070905746, 0.0048355622845792, 0.967722574457169, -0.9946146971138262, -0.9957799328239513, 0.03937730585908818, 0.006099762406688161, 0.004558260859037475, 0.008375700190667176, -0.8426605505846145, 0.004059379225632239, 0.005951854186323565, -0.9242018473846617, 1.1414717304276902, 0.022729166887825787]",27.559050571370904,3.9505292605034854,0.11648766991735816,88.21974829876929,0.992745643229241,0.3032127986520546,-0.0030425549018996112,0.2426687875089562
GradientDescent,32,9,"[-0.9916931206456806, -0.0502073069394397, 0.0008666482693617859, -0.01893322370310053, -0.9983240369416968, 0.0005832163066411635, -0.9929262843391106, 0.013708316115978574, -0.9897462590641859, 0.9983091957974655, -0.9787017121240923, -0.004313511764225933, 0.982999922270451, -0.9946993248123522, 0.002374487954717226, 0.9953404660941173, -0.9997355164041256, 0.0017818880174385581, 0.002917181377760364, 0.9784425752180064, -0.994751094411447, -0.9954541934872086, 0.023911130383473374, 0.003680062694245029, 0.002749861087159926, 0.0050538809511796266, -0.8934557294748913, 0.0024488555376051117, 0.003590800266493988, -0.951158902585936, 1.0904077337923768, 0.0137410633731159]",20.949682163723764,3.9597561020433516,0.08821974829876926,60.78999022778591,0.997789141960833,0.2398256932157573,-0.002335596304048196,0.3109253721523715
